number,card title,description,cardtype,front cardtype,back cardtype,title color,rarity,rarity icon,back rarity icon
1,Juice em' up!,Välj två andra spelare. De blandar en shot till varann,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#6D9EEB,Diamant,RarityIcon=Diamant,RarityIcon=NONE
2,Sal's Saloon,"Saloonen öppnar! 
Lägg upp ett shopkort per spelare som går in. I turordning från dig: slå tärningen – slaget plus ditt guld är din budget. Köp ett eller flera kort eller avstå",Location,CardFrontType=Location,CardBackType=Location,#FFD700,Guld,RarityIcon=Guld,RarityIcon=NONE
3,Sal's Saloon,"Saloonen öppnar! 
Lägg upp ett shopkort per spelare som går in. I turordning från dig: slå tärningen – slaget plus ditt guld är din budget. Köp ett eller flera kort eller avstå",Location,CardFrontType=Location,CardBackType=Location,#FFD700,Guld,RarityIcon=Guld,RarityIcon=NONE
4,DustyDice Casino,"Välkommen till kasinot!

Alla annonserar sin insats (1–10 klunkar) och slår sedan en tärning samtidigt.
5–6: dela ut dubbla insatsen.
1–4: drick din insats.

🏴‍☠️ - Här går det att sälja dina stöldgods",Location,CardFrontType=Location,CardBackType=Location,#FFD700,Guld,RarityIcon=Guld,RarityIcon=NONE
5,DustyDice Casino,"Välkommen till kasinot!

Alla annonserar sin insats (1–10 klunkar) och slår sedan en tärning samtidigt.
5–6: dela ut dubbla insatsen.
1–4: drick din insats.

🏴‍☠️ - Här går det att sälja dina stöldgods",Location,CardFrontType=Location,CardBackType=Location,#FFD700,Guld,RarityIcon=Guld,RarityIcon=NONE
6,Free for all,Era stöldgods är i fara! Så länge effekten ligger får ni sno varandras stöldgodskort. Blir du påkommen (någon säger till medan du snor) dricker du kortets värde i klunkar,Effect,CardFrontType=Effect,CardBackType=Effect,#FF0000,Special,RarityIcon=Special,RarityIcon=NONE
7,Duel,Utmana en spelare på duell. Förloraren dricker 3,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=NONE
8,Duel,Utmana en spelare på duell. Förloraren dricker 3,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=NONE
9,Duel,Utmana en spelare på duell. Förloraren dricker 3,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=NONE
10,Duel,Utmana en spelare på duell. Förloraren dricker 3,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=NONE
11,Duel,Utmana en spelare på duell. Förloraren dricker 5,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
12,Duel,Utmana en spelare på duell. Förloraren dricker 5,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
13,Duel,Utmana en spelare på duell. Förloraren dricker 5,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
14,Duel,Utmana en spelare på duell. Förloraren dricker 5,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
15,Duel,Utmana en spelare på duell. Förloraren dricker 7,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#FFD700,Guld,RarityIcon=Guld,RarityIcon=NONE
16,Duel,Utmana en spelare på duell. Förloraren dricker 7,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#FFD700,Guld,RarityIcon=Guld,RarityIcon=NONE
17,Duel,Utmana en spelare på duell. Vinnaren blandar en shot till förloraren,Playcard,CardFrontType=Playcard,CardBackType=Playcard,#6D9EEB,Diamant,RarityIcon=Diamant,RarityIcon=NONE
18,Saddle Pals,"Välj en annan spelare. Ni är allierade resten av spelet.
När en av er får klunkar dricker BÅDA fullt.
Båda delar ut +2 klunkar",Playcard,CardFrontType=Playcard,CardBackType=Playcard,#6D9EEB,Diamant,RarityIcon=Diamant,RarityIcon=NONE
19,Standoff,Dela upp er i två lag efter hur ni sitter. Öppna en ny enhet och duellera lag mot lag – laget som druckit upp sist förlorar. Vinnarna går raka vägen till Sal's Saloon,Event,CardFrontType=Event,CardBackType=Event,#6D9EEB,Diamant,RarityIcon=Diamant,RarityIcon=NONE
20,Zorro's here!,Zorro är här för att stoppa er. Slå en tärning var. Slår MINST HÄLFTEN 4 eller mer kommer ni undan. Annars beslagtar Zorro allt stöldgods och alla dricker 5,Event,CardFrontType=Event,CardBackType=Event,#FFD700,Guld,RarityIcon=Guld,RarityIcon=NONE
